Course,Applicant Income,Coapplicant Income,Cibil Score,Cgpa,Previous Score,Loan Amount,Loan Status
Law,105694,64086,533,7.3,57,1237418,N
Law,661971,33517,540,5.8,79,422950,N
Engineering,69421,186967,837,8.0,73,1200040,Y
Degree,28609,613160,508,9.3,55,1308441,N
Degree,935147,843632,688,7.9,87,993808,N
MTech,392180,312398,765,7.3,94,456048,Y
BPhramacy,29299,778744,667,8.3,66,937474,N
Engineering,40889,236464,787,7.7,95,519391,Y
BPhramacy,607336,639354,542,7.1,62,1395525,N
MBA,508906,212101,571,9.3,91,1333722,N
Medicine,683915,271780,668,8.7,81,1060469,N
MTech,366878,825866,682,8.8,84,1085898,N
Degree,609824,205427,708,6.2,77,432967,N
Law,198908,915298,635,7.9,80,462453,N
BPhramacy,443093,634707,857,8.3,93,1416838,Y
MBA,791886,969952,641,7.8,66,1248021,N
MTech,290323,386827,799,5.8,50,658587,N
Engineering,378738,938398,582,5.9,76,1328996,N
Engineering,215924,374128,622,5.9,90,1372880,N
MTech,623615,324925,744,6.9,71,1127253,N
Engineering,643359,744985,864,6.6,91,769311,N
Degree,235384,540638,796,8.8,90,659777,Y
Degree,831299,474759,837,8.7,63,633771,N
Degree,893898,922093,545,6.1,88,1134820,N
Degree,97164,214786,573,5.5,94,1356072,N
Engineering,22203,80401,576,8.4,68,701061,N
Medicine,410743,256449,660,6.8,85,432981,N
MTech,113626,341021,613,5.7,62,1290200,N
MBA,892778,544707,746,7.0,93,778186,Y
Engineering,406527,997672,629,7.2,91,412474,N
Engineering,524855,781730,539,8.3,61,885592,N
Degree,257080,640187,676,6.1,61,632868,N
Degree,993552,470053,693,8.3,50,481392,N
MBA,614121,672991,772,6.9,53,1463323,N
Medicine,541646,27107,791,8.3,89,733818,Y
Engineering,440295,162016,553,7.1,57,589639,N
Degree,306798,983148,738,8.4,50,688144,N
Degree,964870,879365,505,5.9,61,1081144,N
MBA,967685,771880,832,8.9,90,418325,Y
Degree,59622,526943,573,7.9,68,1431482,N
MTech,593901,742232,668,5.9,87,817759,N
Law,990077,523990,673,7.5,87,665523,N
Law,747514,424664,638,8.7,89,917952,N
MBA,739728,512938,864,7.0,77,1256731,Y
MBA,385686,930135,557,9.2,54,811807,N
BPhramacy,762900,255878,751,7.3,77,754979,Y
MBA,220326,184885,520,8.6,85,1026629,N
Engineering,330595,952599,561,9.1,89,1031912,N
Law,191944,44939,891,9.4,76,761427,Y
Engineering,606187,559813,591,8.3,64,451110,N
MBA,46430,480989,525,8.8,77,918442,N
Degree,555554,521149,691,7.4,69,1406749,N
Medicine,915723,68245,880,8.8,61,506157,N
MTech,874529,256881,869,6.2,77,1460604,N
Law,264823,524187,511,8.3,81,699358,N
MBA,733581,77986,799,7.1,88,755573,Y
MBA,299763,600460,644,9.0,84,678590,N
Degree,920708,481000,628,7.0,76,958299,N
Degree,991343,136088,896,8.9,66,497554,N
MTech,753554,323619,577,6.6,93,1280998,N
MBA,202345,601791,644,8.2,67,1384865,N
Engineering,290124,771650,770,7.4,59,836033,N
Degree,45868,568493,876,8.1,78,921405,Y
BPhramacy,480289,951172,536,8.8,94,469268,N
MTech,195645,93689,662,8.5,60,1230981,N
BPhramacy,843625,974514,878,8.8,54,510504,N
MTech,830832,37437,709,6.0,53,1148534,N
Law,503215,831018,507,6.2,79,1331691,N
MBA,618964,401593,663,7.8,84,687095,N
Medicine,460259,862161,761,7.4,90,841160,Y
MBA,168723,848891,874,9.4,85,586055,Y
MTech,338595,51726,684,7.6,50,537174,N
BPhramacy,27393,558231,736,6.3,86,947089,N
Medicine,63124,44827,741,7.9,71,685920,Y
Engineering,293419,816218,531,8.8,52,1357837,N
BPhramacy,421420,974775,784,6.2,72,523265,N
MTech,900510,745340,812,5.6,62,918764,N
MTech,537739,641006,648,6.9,52,448280,N
Degree,400592,164867,844,8.4,90,1434921,Y
Degree,992755,364084,683,7.4,94,1367199,N
Degree,422957,447108,861,7.0,72,1300787,Y
Degree,77053,242537,759,8.2,60,1310061,N
BPhramacy,798806,290963,547,8.8,68,798748,N
Engineering,933316,231097,769,8.0,62,787918,N
BPhramacy,426239,545988,818,7.4,90,869894,Y
MBA,616693,301020,583,5.8,85,778123,N
Medicine,397107,108954,673,7.9,53,1243675,N
Degree,472471,934126,624,6.5,63,869222,N
MBA,458481,949819,632,5.5,53,1439579,N
Medicine,490602,310437,590,8.7,85,1048519,N
BPhramacy,673899,852965,588,5.7,60,486003,N
Law,438010,340705,527,8.6,59,1450891,N
Engineering,577429,154892,819,9.3,79,1313925,Y
Law,721872,738392,892,8.1,89,1251885,Y
Engineering,197518,929102,693,7.0,72,1363182,N
Medicine,564647,673369,800,8.8,86,735205,Y
Degree,314373,497606,684,8.8,84,748663,N
Engineering,579985,624583,634,5.6,61,892413,N
Medicine,264489,417018,666,5.8,52,998602,N
Medicine,643162,330175,749,5.9,64,1052175,N
MBA,886302,143380,894,7.8,77,870520,Y
BPhramacy,636166,304885,677,7.8,51,558195,N
BPhramacy,853734,90371,613,6.1,68,979183,N
Medicine,999030,155078,776,7.4,64,1224235,N
BPhramacy,238364,990718,508,7.3,80,1257446,N
BPhramacy,670167,148993,843,7.5,90,984657,Y
MBA,671842,252570,894,6.8,66,1310160,N
MBA,972056,138322,863,9.0,88,607829,Y
Degree,784928,235121,681,7.3,60,766091,N
MTech,362490,717404,810,8.0,70,1085106,Y
Law,392697,685240,787,9.4,64,410651,N
Law,885038,755207,792,6.0,52,520732,N
MBA,793313,314488,667,9.0,93,1461983,N
Law,958123,287621,753,8.4,69,1231246,N
MTech,823549,828447,554,6.0,89,860000,N
MBA,238468,643190,827,6.9,75,681595,N
MBA,215503,345021,607,7.4,56,531867,N
Law,526758,475605,635,6.8,83,852911,N
BPhramacy,104295,863552,818,8.0,76,1321411,Y
MTech,111104,293550,520,7.7,55,886152,N
Degree,910645,929638,898,5.7,69,1052167,N
Degree,828254,709083,505,6.2,78,1268653,N
Degree,905019,953989,501,7.9,65,781692,N
BPhramacy,745664,615064,519,8.9,92,966233,N
Law,981456,251621,657,6.7,75,687966,N
Law,271938,222490,618,7.8,95,729350,N
MBA,995238,83702,891,8.5,78,594998,Y
Law,255632,11060,772,6.1,77,540886,N
Law,54536,807035,510,5.7,76,1284952,N
Degree,780563,147263,829,7.7,60,542725,N
Degree,206053,18077,551,5.9,83,1146503,N
Engineering,281954,592362,549,8.1,51,868666,N
BPhramacy,913796,896243,867,6.6,93,1177727,N
MTech,951103,418497,533,5.8,75,1007074,N
BPhramacy,204846,476160,592,6.7,76,557460,N
Law,152877,850885,680,9.2,70,1497954,N
Medicine,788615,251262,666,6.6,57,623464,N
Law,534819,879016,589,7.6,81,787301,N
MBA,159621,75810,549,7.1,92,1416078,N
Degree,111519,997796,564,7.2,92,861752,N
MTech,35681,609680,900,8.6,92,850702,Y
BPhramacy,956870,994723,612,6.5,83,954110,N
BPhramacy,704727,517694,764,6.3,66,1441564,N
Medicine,293039,224465,647,5.8,84,1377608,N
Degree,808354,356087,778,7.1,58,1205454,N
MBA,420459,825475,569,9.0,73,923188,N
Degree,677098,981985,819,6.1,71,645962,N
Degree,342564,282833,517,8.4,91,1281855,N
Degree,647359,829642,597,9.4,77,946915,N
Law,598244,327227,580,8.7,84,1050497,N
Law,463533,163823,584,7.8,93,1183209,N
MBA,885141,530659,675,9.1,63,1483261,N
Degree,596213,908686,713,9.1,56,473411,N
Engineering,763559,941789,708,9.4,66,1316548,N
BPhramacy,409475,367089,872,6.5,88,1007938,N
MTech,910751,669748,511,5.9,89,724735,N
Engineering,214704,736592,731,7.3,64,1442463,N
BPhramacy,521842,107129,736,7.3,90,1098575,Y
Medicine,73695,803530,814,6.0,59,776790,N
Degree,282139,124173,753,7.4,92,618160,Y
MBA,881637,599002,889,8.1,76,437303,Y
MBA,751921,300523,533,7.9,54,1069189,N
Law,404177,958136,585,6.5,65,1201051,N
Engineering,160971,229997,678,8.9,65,1300193,N
Engineering,728049,430985,527,8.4,95,1141868,N
MBA,557207,417662,627,8.2,84,485772,N
BPhramacy,979386,661831,746,8.0,79,756828,Y
BPhramacy,673572,74363,525,6.1,72,700732,N
MBA,335706,746960,695,8.6,80,979152,N
Engineering,325388,715475,634,6.0,87,1407670,N
Engineering,999868,413558,834,6.6,69,604781,N
MTech,695267,969667,880,6.0,93,548487,N
Medicine,431827,325626,802,7.6,54,1476928,N
Medicine,74965,451873,600,8.3,62,403543,N
MTech,388584,682528,505,5.9,93,1298208,N
MBA,110256,184456,569,7.1,76,448997,N
Engineering,722821,308338,670,6.1,66,610392,N
Engineering,523394,164613,641,8.9,79,1383701,N
MTech,496996,847994,856,7.1,93,473496,Y
BPhramacy,646584,562577,867,8.7,51,1387853,N
BPhramacy,38759,183578,717,8.8,90,940156,Y
MBA,618116,619890,525,6.7,95,1340503,N
Law,91708,392108,792,6.1,67,628850,N
Medicine,653136,378659,585,8.9,65,1133284,N
MTech,976621,393987,533,6.0,81,687960,N
MBA,757674,138122,629,7.4,75,1438602,N
BPhramacy,16050,255956,562,7.5,68,481558,N
Engineering,510803,569401,723,7.7,55,1413829,N
Engineering,795206,807810,553,6.2,51,504495,N
Law,441087,517521,525,5.6,72,829228,N
BPhramacy,769786,219683,570,7.9,51,1183870,N
Medicine,749265,799212,710,8.4,62,1144764,N
Medicine,616874,148318,899,7.8,67,1088641,N
Law,455733,207650,896,8.2,88,1250866,Y
Degree,706735,130384,899,7.4,52,836802,N
MBA,178988,213330,789,7.2,57,647578,N
Engineering,797349,33969,757,5.7,70,1247692,N
BPhramacy,988979,637952,877,6.0,83,1467189,N
Law,550710,756017,769,6.4,89,737541,N
BPhramacy,197233,751929,587,8.5,69,681221,N
BPhramacy,550152,708010,521,7.2,60,550691,N
Degree,528264,59182,850,8.8,94,874316,Y
MTech,296651,106337,518,8.8,87,831002,N
Law,70355,929881,737,7.5,90,446814,Y
BPhramacy,131844,451088,626,6.7,54,471571,N
BPhramacy,125204,384071,824,6.6,71,1341715,N
MTech,123121,365466,666,6.5,76,783536,N
Law,930276,987679,857,8.6,61,1269378,N
Degree,630408,480762,736,7.5,59,712593,N
Law,475333,759126,854,7.9,85,1252578,Y
Engineering,910157,278032,710,8.9,69,572140,N
Degree,829754,120442,633,6.2,56,1246648,N
Engineering,621584,289439,752,8.9,73,1081191,Y
Medicine,219824,866107,737,6.7,65,1084499,N
Law,447143,772980,894,8.3,73,700365,Y
Degree,842109,987436,717,8.3,84,1381799,Y
MTech,633583,441667,873,6.2,62,1268423,N
Law,940122,535423,849,9.1,95,1014056,Y
Engineering,165988,951057,696,8.2,90,1173039,N
MTech,341207,12824,568,7.5,82,476301,N
Engineering,470147,541389,708,8.4,61,1122381,N
BPhramacy,316001,932930,751,7.2,91,832345,Y
BPhramacy,784940,460135,818,8.0,53,808034,N
MBA,42227,690882,663,8.0,91,697855,N
BPhramacy,68576,586820,817,6.0,67,1332501,N
BPhramacy,824243,847399,536,9.0,79,1262906,N
Degree,607839,592767,872,5.8,53,635222,N
MBA,891818,734631,763,8.5,66,1142235,N
MBA,838911,360058,783,8.0,65,1484102,N
Degree,683306,150432,750,9.1,82,1199664,Y
Degree,30447,912250,830,6.4,73,941905,N
Degree,276204,811458,535,6.7,82,933168,N
MTech,447065,852770,793,5.9,54,581737,N
BPhramacy,127585,80367,674,6.4,94,692847,N
Law,390535,983627,521,6.3,90,817953,N
Degree,334516,52716,524,9.1,59,1212471,N
Law,932512,642071,763,7.7,53,1355467,N
MBA,909417,610878,870,8.3,59,416028,N
BPhramacy,426965,69565,797,7.9,85,1065907,Y
Medicine,65834,651877,847,5.9,74,702703,N
MTech,610264,673238,522,6.3,64,918684,N
Degree,26986,460505,630,7.9,83,1284752,N
Law,819520,981205,809,5.6,83,1442350,N
Law,896981,406125,671,6.3,55,715684,N
MBA,789856,123040,725,6.8,82,531887,N
MTech,463398,189982,632,7.0,51,824448,N
Engineering,951538,779574,538,7.1,75,481320,N
MBA,661392,762714,896,6.4,80,549857,N
MTech,51935,55934,744,6.4,64,690983,N
Law,336050,29777,692,8.5,55,1162223,N
BPhramacy,31500,849399,839,7.7,70,540666,Y
MTech,759121,448935,544,9.1,90,1467624,N
MBA,266130,452627,757,8.0,94,468455,Y
Engineering,397870,760599,503,7.8,84,447508,N
Law,494045,488854,699,6.6,60,1254158,N
BPhramacy,937708,475552,574,5.8,87,554709,N
BPhramacy,782668,340401,682,7.4,84,1437723,N
MBA,136594,595855,809,5.6,62,1155065,N
BPhramacy,555757,177810,900,7.9,58,790917,N
MBA,447709,684156,701,8.0,62,667074,N
Medicine,148078,509711,533,6.8,55,1314109,N
Engineering,128533,12700,810,5.9,87,668978,N
BPhramacy,664546,559336,782,8.6,93,1402999,Y
Degree,479533,459251,528,8.2,75,936204,N
MBA,586621,802335,732,7.8,67,1322484,N
Engineering,315168,942497,622,6.0,93,1017931,N
Law,966598,296814,527,9.1,56,1223533,N
Degree,588542,735298,792,6.0,69,1178960,N
Degree,322173,619471,601,8.0,52,699554,N
Engineering,927340,718230,563,6.4,87,810630,N
Degree,366515,785975,543,8.8,93,806947,N
Engineering,356498,952082,830,9.3,54,963704,N
MTech,609095,405339,879,8.8,61,1091662,N
Law,943418,114871,511,7.1,80,991085,N
MTech,234126,687464,782,6.0,54,1116590,N
Law,103088,714173,575,6.5,67,636495,N
Medicine,324844,796156,797,7.4,92,877569,Y
Engineering,225277,688998,755,6.8,80,759933,N
Law,148572,367336,583,9.0,94,1083403,N
MBA,975358,791970,634,6.8,79,412287,N
Engineering,746681,15467,546,7.2,77,1298934,N
BPhramacy,356665,778933,570,8.1,75,1420424,N
MTech,174567,869118,567,8.8,86,766917,N
MTech,777565,123297,667,5.5,95,1038586,N
Engineering,59545,651058,690,8.5,52,1046215,N
MBA,24431,14337,696,7.3,72,618957,N
Law,639816,222512,568,6.4,75,590993,N
MTech,307364,301958,531,8.0,89,913358,N
Degree,58828,656289,788,8.8,53,1349766,N
Law,829010,682160,732,6.5,57,994521,N
Degree,375640,517624,627,6.1,77,1054654,N
Engineering,536545,59597,664,6.1,73,1360129,N
MTech,973493,610767,571,6.4,71,544736,N
Engineering,827651,936275,786,9.5,95,623142,Y
Degree,653786,872480,725,6.9,94,409832,N
Medicine,35195,597606,654,9.0,92,880406,N
MBA,888064,782505,503,7.9,52,737039,N
MBA,950365,78210,650,5.6,71,1196911,N
Engineering,239635,54858,588,6.4,70,1452969,N
Medicine,356215,402944,677,6.9,90,1184913,N
Degree,911603,269414,853,8.6,87,528136,Y
Medicine,44339,962677,619,6.0,61,764249,N
MBA,221670,494749,530,7.1,80,1324929,N
Degree,717460,452540,721,9.0,59,507087,N
MTech,278991,612699,504,7.2,57,896990,N
BPhramacy,614467,745004,748,6.7,90,722925,N
BPhramacy,198635,850306,661,7.7,74,844064,N
Engineering,148941,580909,647,8.7,74,996330,N
Engineering,427760,327479,863,7.7,53,1322106,N
MTech,638568,342118,703,8.0,84,416472,Y
Medicine,372926,926585,694,8.1,95,1365839,N
BPhramacy,94756,743045,866,6.2,61,1374678,N
Degree,468353,21372,808,9.2,95,481529,Y
Law,942314,61763,574,7.9,55,1147315,N
Degree,489287,865416,746,8.5,56,1084367,N
Degree,926949,797048,811,5.5,90,506544,N
Degree,438324,614081,669,7.3,94,882057,N
Degree,493058,618583,591,8.7,72,1384318,N
Degree,553822,349342,543,6.4,71,932209,N
BPhramacy,725627,30513,665,7.7,88,588438,N
Degree,881357,725609,504,8.0,51,866382,N
MBA,289386,681631,857,5.7,84,1143724,N
MTech,375474,43721,637,5.7,53,642268,N
MTech,142716,760540,727,7.5,53,608977,N
BPhramacy,86437,881705,608,6.3,76,1438026,N
Engineering,919586,948692,880,7.8,83,721824,Y
Engineering,744792,452441,509,5.8,73,627208,N
BPhramacy,479343,829632,806,8.9,68,1393226,N
MBA,871595,358447,611,8.7,87,707552,N
MBA,686886,29559,529,6.8,80,704618,N
Degree,647375,635447,840,6.5,50,599888,N
Engineering,459308,120877,692,8.8,81,1014577,N
Law,118058,176859,641,6.2,63,421052,N
Engineering,378077,629395,595,6.6,59,595323,N
Law,191512,357846,777,8.1,67,1072655,N
Medicine,709271,637540,698,5.6,59,657095,N
Law,46444,184301,871,7.2,54,412701,N
MTech,830299,948312,899,6.2,50,1449474,N
Law,220117,399192,617,9.4,65,825286,N
BPhramacy,403149,704661,722,9.3,63,440591,N
MBA,359605,255273,784,6.7,64,1447273,N
Law,173940,674918,544,8.1,80,1067352,N
Degree,158708,130336,520,7.4,79,822735,N
Degree,898607,847412,552,9.1,59,673371,N
Law,398249,240159,754,6.9,94,1467799,N
Degree,52688,551250,757,7.7,65,1033139,N
Law,764333,95234,694,6.0,65,769075,N
BPhramacy,595659,156449,791,8.4,77,984079,Y
Engineering,507759,116417,782,6.6,82,907460,N
MBA,344152,709209,718,7.7,51,1398781,N
BPhramacy,654350,714886,579,9.0,80,849826,N
Degree,436475,304394,823,5.6,84,1434628,N
BPhramacy,108267,338461,750,9.2,92,875129,Y
MBA,738865,704944,650,8.2,71,489278,N
Degree,963224,409060,860,8.5,88,971210,Y
MBA,445468,992302,823,6.7,92,1281911,N
Medicine,791102,674274,609,7.8,86,1106989,N
Medicine,638433,754382,696,8.7,79,971887,N
Law,26880,227367,512,8.2,50,908310,N
BPhramacy,588384,436002,687,8.1,60,1485817,N
